,fitness,fitness_trace,birth_time,route
268,1308.8201698916976,"[1255.8474820358306, 0, 0.0, 52.97268785586699, 0]",13.35789179801941,"[[0, 0], [0.12084602570846614, 0.0], [-0.08008880855736406, 0.6834211293788346], [-1.234043880542689, -0.29025812847928517], [0.4101550260002038, 0.7389158229989208], [2.637391908447368, 1.962965401866486], [5.21636868118035, 0.895083345630028], [6.385436461852594, -1.5140561020553085], [8.637759527341819, -3.8404048324796336], [4.981553846366456, -1.9751114609712603], [6.647766709255741, -6.453007725059206], [6.0203560714041275, -11.784414533369658]]"
269,1204.4344130267762,"[1181.303862765753, 0, 0.0, 23.130550261023174, 0]",13.63146686553955,"[[0, 0], [-0.08058010231982382, 0.0], [-0.7414180708556136, 0.020639659411705716], [-1.6575487037500134, 0.19457585699494911], [-1.4067165646616386, -0.8930982839998001], [-0.38150829353067545, -0.9697190419607616], [0.44891843863389563, -1.1858886960733535], [0.8672199562975003, -2.150402952938675], [0.9615583968826878, -3.161286112003964], [0.6559769865730182, -3.6942182500577196], [0.7519622156855241, -3.8908565428537716], [0.955361418904026, -4.171256141851667]]"
270,1095.3088841188303,"[1083.5076582054012, 0, 0.0, 11.801225913429061, 0]",13.641682624816895,"[[0, 0], [-0.08172907329755086, 0.0], [-0.1354952442484002, 0.008851215388073635], [-0.16941936315870354, 0.010901446889300982], [-0.2215105045641716, -0.055917407533359706], [-0.22355267357758232, -0.2469841429148677], [-0.2835296589278435, -0.5328084703195771], [-0.3042599586265034, -0.8897935694870005], [-0.625931867809023, -1.1807091631366189], [-0.9783205935875825, -1.6248895585587046], [-1.3356655716084505, -2.494934571570928], [-1.873125589897955, -3.7406224265221097], [-2.540272479132732, -5.214946513725823]]"
271,1696.9589153100655,"[1456.0014047206516, 200, 0.0, 40.957510589413964, 0]",13.655176162719727,"[[0, 0], [0.4295147754149645, 0.0], [1.087674437920253, -0.8785678842051898], [-0.1609512744958081, -1.8290735133530442], [-1.8783170037874126, -2.642291186809041], [-1.8625053523413306, -0.8921248219032303], [-2.4269984918337557, 0.3873416043042959], [-2.3393288160404793, 1.7160787772558266], [-1.164669121445552, 0.6010942523682847], [-0.06288270349692027, -0.2820912225579775], [1.2153529985099132, -0.3593764669913671], [2.5550830525263066, -0.38629565145896694], [3.1362803799299135, -1.0475804018445272], [3.4099818669947006, -1.9879422723027038], [3.376633984005389, -3.5504383713485868]]"
272,1798.1718864129725,"[1743.340937879921, 0, 0.0, 54.83094853305144, 0]",14.096745491027832,"[[0, 0], [0.10796806189737873, 0.0], [0.14519020186837, 0.02933974918674162], [-0.14892855323681417, -0.06031581805536775], [-0.2634867865619261, -0.019199470891404224], [-0.14407365948450962, -0.04633873731041664], [0.012002294872743624, -0.31377533208047453], [-0.051228612821179624, -0.9201996110626758], [-0.0785887960938003, -0.19480228731777474], [-0.7147598475591824, -0.9415033324866683], [-0.11618173094181608, -2.0892675932377127], [0.0006452781550656435, -0.8276333216955969], [-0.9222205546957829, -1.3322177063162417]]"
273,1904.5908223707531,"[1880.2023395809815, 0, 0.0, 24.388482789771672, 0]",14.135770559310913,"[[0, 0], [0.11046161249107947, 0.0], [-0.12145345895369498, -0.033058691721276755], [-0.15098120225262288, -0.016110145376448226], [-0.057555156713853306, -0.03384724992566984], [-0.32368721968639036, -0.06745787706628555], [-0.79513435402941, -0.8820725372251925], [-1.9213658768482131, -0.7974256802007733]]"
274,2089.3192342207517,"[2022.9059710414037, 0, 0.0, 66.41326317934798, 0]",14.140944242477417,"[[0, 0], [-0.2294366280056872, 0.0], [-0.22957595293493038, 0.0008538249562374811], [0.07147279127693029, -0.012720874752016078], [0.40970332149030403, 0.36361706312489916], [0.9656993819813171, 0.940898841086239], [0.9202710704234363, -0.15804679143417416], [-0.07646629871477201, -0.7335111776702103], [-1.1335878845017011, -0.5191692362068301], [-0.94271627200536, 0.8724403952882052], [-2.125113259032234, 0.5660587661898862], [-1.5758844742426688, -0.11205304933329768], [-2.1593070412523043, -0.7087436640505216], [-1.6583312806293442, -0.459878569477727], [-1.8592934886107466, -0.05783012038700913]]"
275,2383.398084253714,"[2313.32414867637, 0, 0.0, 70.07393557734379, 0]",14.14769434928894,"[[0, 0], [0.10796806189737873, 0.0], [0.14519020186837, 0.02933974918674162], [0.11922084139610412, 0.021423566680042402], [-0.15157856959511148, -0.32403763895852444], [-0.5050520242785872, -0.9087814577961864], [-0.8290002708202403, -0.9771626062308889], [-0.5280952024981463, -0.8528833855932065], [-0.4927476622040703, -0.4379706845763772], [-0.21808088957654082, -0.13048098605816227], [-0.5544737429190164, 0.5531599370189151], [-1.1780527781934573, 0.10012645816854482], [-0.4888188885828777, -0.15131898395844384], [-1.1900468049916433, -0.9910415932816168], [-1.8761996543400437, 0.1824926230894994], [-1.149005134121611, 1.5094093081701419]]"
276,1726.6249618937964,"[1664.0509283661397, 0, 0.0, 62.57403352765668, 0]",14.155866861343384,"[[0, 0], [0.446970687963564, 0.0], [0.8373879989553517, -0.4224247247808025], [0.9309581007403946, -0.3862893353744458], [0.8972875935701712, -0.48839997568569177], [0.8691628776763005, -0.8927414797891351], [0.6433028312827456, -0.7153487258762963], [0.6670746427881349, -0.480479408216088], [0.8924504856016097, -0.2720799302451191], [0.8784647360457134, -0.25876651123755484], [0.9374529764152134, -0.10709706060110402], [0.24181974471137152, -0.1463061840677336], [0.7272853366531995, -1.0708072399441042], [-0.16637296277840147, -1.681408932868402]]"
277,1703.6941062869446,"[1626.3467676090847, 0, 0.0, 77.34733867785978, 0]",14.163819074630737,"[[0, 0], [0.446970687963564, 0.0], [0.9064139730191096, -0.4971096254644791], [0.6182113428491506, -0.5928868341639328], [0.5839138321691788, -0.6823162172367792], [0.5243433232541059, -1.1885204496317994], [-0.4052081631604765, -1.3734020401197562], [-0.24416338498905044, -1.9583688083114128], [-0.4793987348544839, -2.439196546081863], [-0.8172946443838218, -2.299806832793561], [-1.0179359450127798, -2.5401739826867855], [-0.6369380233930945, -2.6449344706501794], [-0.73275382973947, -2.919446850871456], [-0.750828591976906, -2.915405927241287], [-1.3419149328536693, -3.2647914958694875], [-0.9518197106609385, -1.9241635447954821]]"
